product_name,variant_mg,kit_price_usd,kit_quantity,notes
Retatrutide,10mg,$110,10 vials,US warehouse — ships from USA
Retatrutide,20mg,$170,10 vials,US warehouse — ships from USA
Retatrutide,30mg,$210,10 vials,US warehouse — ships from USA
